payment_id,order_id,customer_id,merchant_id,amount,currency,payment_method,bank,created_at,source,true_final_state,final_observed_state,resolved_at,time_to_resolution_sec,scenario,incident_id,is_hard_negative
P0000044,O0000044,C002542,M0000,1408.24,INR,WALLET,BANK_C,2026-01-01T05:19:15.583027,SYNTHETIC,FAILED,FAILED,2026-01-01T05:19:19.241288,3.66,genuine_failure,,False
P0000045,O0000045,C000813,M0018,1502.15,INR,UPI,BANK_A,2026-01-01T12:49:36.193545,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:49:42.420649,6.23,normal_success,,False
P0000046,O0000046,C000191,M0004,620.37,INR,UPI,BANK_A,2026-01-01T11:42:26.474774,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:42:32.016047,5.54,normal_success,,False
P0000047,O0000047,C003963,M0016,1220.99,INR,NETBANKING,BANK_E,2026-01-01T17:49:02.703136,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:49:10.107420,7.4,normal_success,,False
P0000048,O0000048,C001239,M0019,47.76,INR,CARD,BANK_C,2026-01-01T05:13:06.365808,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T05:15:29.285930,142.92,late_capture,,False
P0000049,O0000049,C002152,M0017,761.74,INR,CARD,BANK_A,2026-01-01T03:36:53.816417,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T03:37:00.271119,6.45,normal_success,,False
P0000050,O0000050,C001577,M0015,1091.47,INR,CARD,BANK_C,2026-01-01T08:39:13.512048,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T08:39:18.338884,4.83,normal_success,,False
P0000051,O0000051,C002121,M0019,219.21,INR,CARD,BANK_B,2026-01-01T13:01:43.110241,SYNTHETIC,FAILED,FAILED,2026-01-01T13:01:48.868512,5.76,genuine_failure,,False
P0000052,O0000052,C000884,M0005,606.54,INR,WALLET,BANK_B,2026-01-01T15:05:56.789290,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:06:03.525457,6.74,normal_success,,False
P0000053,O0000053,C002106,M0001,553.73,INR,NETBANKING,BANK_C,2026-01-01T06:49:55.665194,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T06:50:00.865614,5.2,normal_success,,False
P0000054,O0000054,C002943,M0022,478.75,INR,UPI,BANK_D,2026-01-01T14:52:02.161566,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:52:06.612016,4.45,normal_success,,False
P0000055,O0000055,C001190,M0009,999.46,INR,NETBANKING,BANK_A,2026-01-01T04:49:49.737069,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:49:56.930993,7.19,normal_success,,False
P0000056,O0000056,C003052,M0004,2149.71,INR,WALLET,BANK_C,2026-01-01T22:57:12.169805,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:57:21.487385,9.32,normal_success,,False
P0000057,O0000057,C001018,M0017,1465.69,INR,NETBANKING,BANK_E,2026-01-01T09:41:21.942377,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:41:26.642463,4.7,normal_success,,False
P0000058,O0000058,C001273,M0003,625.64,INR,NETBANKING,BANK_E,2026-01-01T19:02:24.142803,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T19:02:30.862918,6.72,normal_success,,False
P0000059,O0000059,C002810,M0013,1495.79,INR,UPI,BANK_A,2026-01-01T16:47:58.786543,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:48:06.105202,7.32,normal_success,,False
P0000060,O0000060,C003800,M0010,393.8,INR,NETBANKING,BANK_A,2026-01-01T02:32:57.037845,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T02:33:01.137510,4.1,normal_success,INC0001,False
P0000061,O0000061,C003135,M0008,8061.13,INR,WALLET,BANK_D,2026-01-01T22:01:15.513208,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:06:59.485583,343.97,late_capture,,False
P0000062,O0000062,C000557,M0023,43.34,INR,CARD,BANK_E,2026-01-01T03:55:26.791156,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T03:55:34.706635,7.92,normal_success,,False
P0000063,O0000063,C001374,M0008,603.82,INR,UPI,BANK_C,2026-01-01T13:24:42.557586,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T13:24:52.410254,9.85,normal_success,,False
P0000064,O0000064,C002819,M0016,8656.33,INR,NETBANKING,BANK_B,2026-01-01T23:13:37.569465,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:13:46.213546,8.64,normal_success,,False
P0000065,O0000065,C001045,M0011,32.79,INR,CARD,BANK_E,2026-01-01T17:50:55.859786,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:51:01.040840,5.18,normal_success,,False
P0000066,O0000066,C002117,M0001,268.88,INR,UPI,BANK_B,2026-01-01T04:19:49.392434,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:19:58.135015,8.74,normal_success,,False
P0000067,O0000067,C000743,M0014,1197.87,INR,NETBANKING,BANK_E,2026-01-01T18:39:18.716958,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T18:43:48.961191,270.24,late_capture,,False
P0000068,O0000068,C000618,M0004,1540.36,INR,NETBANKING,BANK_D,2026-01-01T05:58:32.164368,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T05:58:36.012371,3.85,normal_success,,False
P0000069,O0000069,C002940,M0017,314.36,INR,NETBANKING,BANK_A,2026-01-01T17:00:26.467405,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:00:35.624839,9.16,normal_success,,False
P0000070,O0000070,C002891,M0006,4585.06,INR,CARD,BANK_E,2026-01-01T09:02:35.509545,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:02:41.159966,5.65,normal_success,,False
P0000071,O0000071,C001881,M0007,1170.95,INR,NETBANKING,BANK_A,2026-01-01T03:19:10.733669,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T03:19:16.944653,6.21,normal_success,,False
P0000072,O0000072,C002139,M0017,74.39,INR,CARD,BANK_A,2026-01-01T18:23:54.068925,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T18:24:00.817581,6.75,normal_success,,False
P0000073,O0000073,C001522,M0021,157.37,INR,WALLET,BANK_A,2026-01-01T12:59:49.262216,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:59:54.555260,5.29,normal_success,,False
P0000074,O0000074,C000848,M0003,565.19,INR,UPI,BANK_A,2026-01-01T00:14:04.412833,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T00:14:11.915264,7.5,normal_success,,False
P0000075,O0000075,C001622,M0013,1149.43,INR,WALLET,BANK_C,2026-01-01T14:36:42.254048,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:36:45.322618,3.07,normal_success,,False
P0000076,O0000076,C003476,M0002,799.42,INR,WALLET,BANK_C,2026-01-01T06:56:09.401528,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T06:56:17.311770,7.91,normal_success,,False
P0000077,O0000077,C001295,M0024,2354.42,INR,UPI,BANK_B,2026-01-01T17:56:29.441257,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:56:34.620138,5.18,normal_success,,False
P0000078,O0000078,C003863,M0007,568.88,INR,NETBANKING,BANK_B,2026-01-01T12:51:12.065226,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:51:17.402804,5.34,normal_success,,False
P0000079,O0000079,C003576,M0023,188.45,INR,NETBANKING,BANK_E,2026-01-01T01:11:41.637684,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T01:11:46.751421,5.11,normal_success,,False
P0000080,O0000080,C003803,M0015,64.24,INR,WALLET,BANK_A,2026-01-01T11:54:59.211739,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:55:05.273280,6.06,normal_success,INC0000,False
P0000081,O0000081,C000186,M0006,926.37,INR,UPI,BANK_A,2026-01-01T16:09:52.795637,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:09:57.144194,4.35,normal_success,,False
P0000082,O0000082,C001667,M0007,184.36,INR,NETBANKING,BANK_D,2026-01-01T11:52:16.138884,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:52:24.204711,8.07,normal_success,,False
P0000083,O0000083,C001536,M0023,1415.42,INR,UPI,BANK_D,2026-01-01T14:21:40.749424,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:21:47.824475,7.08,normal_success,,False
P0000084,O0000084,C002833,M0020,2973.47,INR,UPI,BANK_B,2026-01-01T18:17:17.932666,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T18:19:05.099115,107.17,late_capture,,False
P0000085,O0000085,C001489,M0005,1935.61,INR,WALLET,BANK_A,2026-01-01T20:28:57.041978,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T20:29:04.724429,7.68,normal_success,,False
P0000086,O0000086,C003488,M0014,5680.11,INR,CARD,BANK_E,2026-01-01T11:02:44.546886,SYNTHETIC,FAILED,FAILED,2026-01-01T11:02:51.354808,6.81,genuine_failure,,False
P0000087,O0000087,C001842,M0011,385.64,INR,CARD,BANK_B,2026-01-01T05:45:41.229794,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T05:45:48.004281,6.77,normal_success,,False
P0000088,O0000088,C000312,M0022,1263.61,INR,NETBANKING,BANK_D,2026-01-01T06:54:17.525635,SYNTHETIC,FAILED,FAILED,2026-01-01T06:54:23.995418,6.47,genuine_failure,,False
P0000089,O0000089,C003815,M0019,123.82,INR,UPI,BANK_A,2026-01-01T02:00:27.728457,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T02:00:34.767524,7.04,normal_success,INC0001,False
P0000090,O0000090,C003525,M0012,281.91,INR,NETBANKING,BANK_C,2026-01-01T07:56:17.102212,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T07:56:24.333139,7.23,normal_success,,True
P0000091,O0000091,C001259,M0011,3770.04,INR,WALLET,BANK_B,2026-01-01T14:57:25.979139,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:03:58.976969,393.0,late_capture,,False
P0000092,O0000092,C003045,M0010,655.72,INR,UPI,BANK_C,2026-01-01T19:14:46.884080,SYNTHETIC,FAILED,FAILED,2026-01-01T19:14:50.567176,3.68,genuine_failure,,False
P0000093,O0000093,C001441,M0024,1288.22,INR,WALLET,BANK_B,2026-01-01T14:45:44.261189,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:46:35.217686,50.96,late_capture,,False
P0000094,O0000094,C003772,M0012,620.84,INR,NETBANKING,BANK_D,2026-01-01T16:53:44.576350,SYNTHETIC,FAILED,FAILED,2026-01-01T16:53:46.391233,1.81,genuine_failure,,False
P0000095,O0000095,C000604,M0024,768.11,INR,UPI,BANK_A,2026-01-01T04:01:12.815776,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:01:19.893713,7.08,normal_success,,True
P0000096,O0000096,C000906,M0019,107.68,INR,UPI,BANK_A,2026-01-01T21:11:11.683247,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T21:11:17.707710,6.02,normal_success,,False
P0000097,O0000097,C003950,M0018,396.81,INR,NETBANKING,BANK_B,2026-01-01T14:53:05.031136,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:53:10.086574,5.06,normal_success,,False
P0000098,O0000098,C001767,M0020,144.9,INR,CARD,BANK_C,2026-01-01T12:53:37.134318,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:53:44.479813,7.35,normal_success,,False
P0000099,O0000099,C000311,M0013,99.02,INR,NETBANKING,BANK_B,2026-01-01T18:58:43.217125,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T18:58:52.245417,9.03,normal_success,,False
P0000100,O0000100,C000587,M0019,721.38,INR,UPI,BANK_A,2026-01-01T20:09:26.031849,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T20:09:34.305133,8.27,normal_success,,False
P0000101,O0000101,C000601,M0015,342.54,INR,CARD,BANK_A,2026-01-01T11:29:40.828044,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T11:29:49.298537,8.47,normal_success,,False
P0000102,O0000102,C003502,M0008,344.54,INR,CARD,BANK_A,2026-01-01T18:56:52.614128,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T18:58:53.371702,120.76,late_capture,,False
P0000103,O0000103,C003245,M0023,394.83,INR,CARD,BANK_B,2026-01-01T12:19:11.351196,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T12:19:17.915061,6.56,normal_success,,False
P0000104,O0000104,C001455,M0001,3025.73,INR,NETBANKING,BANK_E,2026-01-01T16:34:33.154028,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:34:37.395729,4.24,normal_success,,False
P0000105,O0000105,C000955,M0010,101.66,INR,WALLET,BANK_B,2026-01-01T04:44:35.944329,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T04:44:43.555322,7.61,normal_success,,True
P0000106,O0000106,C003218,M0007,403.23,INR,NETBANKING,BANK_E,2026-01-01T15:24:10.327633,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:24:15.951328,5.62,normal_success,,True
P0000107,O0000107,C003601,M0004,204.59,INR,NETBANKING,BANK_C,2026-01-01T13:04:47.966808,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T13:04:53.090724,5.12,normal_success,,False
P0000108,O0000108,C002132,M0019,371.75,INR,CARD,BANK_A,2026-01-01T20:58:01.956907,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T20:58:08.928287,6.97,normal_success,,False
P0000109,O0000109,C002588,M0016,144.0,INR,NETBANKING,BANK_E,2026-01-01T13:19:44.902396,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T13:23:31.306595,226.4,late_capture,,False
P0000110,O0000110,C000188,M0021,4123.46,INR,WALLET,BANK_B,2026-01-01T16:05:18.116179,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:05:28.786239,10.67,normal_success,,False
P0000111,O0000111,C000037,M0012,5952.4,INR,NETBANKING,BANK_A,2026-01-01T16:32:54.030847,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T16:32:59.793955,5.76,normal_success,,False
P0000112,O0000112,C001713,M0017,178.27,INR,NETBANKING,BANK_E,2026-01-01T10:50:12.201775,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T10:50:18.383938,6.18,normal_success,,False
P0000113,O0000113,C000107,M0006,606.71,INR,WALLET,BANK_B,2026-01-01T00:34:32.016251,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T00:34:38.336906,6.32,normal_success,,True
P0000114,O0000114,C001284,M0018,416.6,INR,CARD,BANK_D,2026-01-01T22:40:18.441469,SYNTHETIC,FAILED,FAILED,2026-01-01T22:40:21.565645,3.12,genuine_failure,,False
P0000115,O0000115,C001447,M0001,181.4,INR,NETBANKING,BANK_E,2026-01-01T22:02:50.460388,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:02:54.141313,3.68,normal_success,,False
P0000116,O0000116,C003395,M0023,608.57,INR,UPI,BANK_B,2026-01-01T09:19:23.342599,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T09:21:46.013737,142.67,late_capture,,False
P0000117,O0000117,C001535,M0001,917.58,INR,NETBANKING,BANK_C,2026-01-01T20:44:24.089335,SYNTHETIC,FAILED,FAILED,2026-01-01T20:44:28.344251,4.25,genuine_failure,,False
P0000118,O0000118,C002948,M0019,1188.06,INR,WALLET,BANK_E,2026-01-01T22:03:19.560249,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T22:03:24.562598,5.0,normal_success,,False
P0000119,O0000119,C000070,M0011,1459.89,INR,CARD,BANK_E,2026-01-01T17:49:46.397526,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T17:49:53.020347,6.62,normal_success,,False
P0000120,O0000120,C001212,M0024,2330.87,INR,CARD,BANK_E,2026-01-01T23:00:55.242697,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T23:01:04.129272,8.89,normal_success,,False
P0000121,O0000121,C002432,M0016,597.21,INR,NETBANKING,BANK_D,2026-01-01T03:42:21.853194,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T03:42:28.179706,6.33,normal_success,,False
P0000122,O0000122,C001998,M0013,151.04,INR,UPI,BANK_A,2026-01-01T15:06:57.044110,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:07:02.463420,5.42,normal_success,,False
P0000123,O0000123,C003721,M0003,330.62,INR,NETBANKING,BANK_E,2026-01-01T18:11:50.145443,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T18:11:57.687817,7.54,normal_success,,True
P0000124,O0000124,C001765,M0024,1535.87,INR,UPI,BANK_B,2026-01-01T14:20:28.662254,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T14:20:36.960004,8.3,normal_success,,False
P0000125,O0000125,C002151,M0016,1678.3,INR,NETBANKING,BANK_A,2026-01-01T03:06:01.282173,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T03:06:07.173925,5.89,normal_success,,False
P0000126,O0000126,C002057,M0010,61.5,INR,NETBANKING,BANK_A,2026-01-01T20:51:29.350653,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T20:51:38.230199,8.88,normal_success,,False
P0000127,O0000127,C000600,M0010,488.11,INR,WALLET,BANK_D,2026-01-01T01:49:17.605330,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T01:49:20.615464,3.01,normal_success,,True
P0000128,O0000128,C000536,M0006,943.32,INR,NETBANKING,BANK_D,2026-01-01T21:46:02.701272,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T21:46:06.688148,3.99,normal_success,,False
P0000129,O0000129,C000693,M0017,2406.8,INR,NETBANKING,BANK_E,2026-01-01T00:53:38.392166,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T00:53:44.625303,6.23,normal_success,,False
P0000130,O0000130,C000559,M0022,531.11,INR,NETBANKING,BANK_C,2026-01-01T15:16:31.747749,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T15:16:36.911345,5.16,normal_success,,False
P0000131,O0000131,C000960,M0012,1518.81,INR,UPI,BANK_D,2026-01-01T13:17:10.078888,SYNTHETIC,CAPTURED,SUCCESS,2026-01-01T13:17:15.424047,5.35,normal_success,,False
P0000132,O0000132,C003995,M0012,354.29,INR,WALLET,BANK_C,2026-01-01T10:13:09.796870,SYNTHETIC,FAILED,FAILED,2026-01-01T10:13:11.955461,2.16,genuine_failure,INC0000,False
