event_id,payment_id,event_type,event_time,received_time,sequence_number,duplicate_flag,out_of_order_flag,source
EV000001101,P0000011,payment.authorized,2026-01-01T07:52:17.178620,2026-01-01T07:52:54.146550,1,False,False,SYNTHETIC
EV000001101D,P0000011,payment.authorized,2026-01-01T07:52:17.178620,2026-01-01T07:52:15.265845,1,True,True,SYNTHETIC
EV000001102,P0000011,payment.captured,2026-01-01T07:52:19.408396,2026-01-01T07:52:19.780655,2,False,False,SYNTHETIC
EV000001200,P0000012,payment.attempted,2026-01-01T22:56:53.049013,2026-01-01T22:56:53.954111,0,False,False,SYNTHETIC
EV000001201,P0000012,payment.authorized,2026-01-01T22:56:55.474321,2026-01-01T22:56:55.589750,1,False,False,SYNTHETIC
EV000001202,P0000012,payment.captured,2026-01-01T22:57:00.464601,2026-01-01T22:57:01.869211,2,False,False,SYNTHETIC
EV000001202D,P0000012,payment.captured,2026-01-01T22:57:00.464601,2026-01-01T22:57:02.299150,2,True,False,SYNTHETIC
EV000001300,P0000013,payment.attempted,2026-01-01T04:47:47.383229,2026-01-01T04:47:49.926380,0,False,False,SYNTHETIC
EV000001301,P0000013,payment.authorized,2026-01-01T04:47:49.522547,2026-01-01T04:47:56.603522,1,False,True,SYNTHETIC
EV000001302,P0000013,payment.captured,2026-01-01T04:47:54.313125,2026-01-01T04:47:54.417183,2,False,True,SYNTHETIC
EV000001400,P0000014,payment.attempted,2026-01-01T20:17:23.420368,2026-01-01T20:17:23.960271,0,False,False,SYNTHETIC
EV000001401,P0000014,payment.authorized,2026-01-01T20:17:29.241094,2026-01-01T20:17:30.460124,1,False,False,SYNTHETIC
EV000001402,P0000014,payment.captured,2026-01-01T20:17:31.246967,2026-01-01T20:17:32.987633,2,False,False,SYNTHETIC
EV000001500,P0000015,payment.attempted,2026-01-01T20:09:06.899076,2026-01-01T20:09:32.089559,0,False,False,SYNTHETIC
EV000001501,P0000015,payment.authorized,2026-01-01T20:09:08.559429,2026-01-01T20:09:09.086005,1,False,False,SYNTHETIC
EV000001502,P0000015,payment.captured,2026-01-01T20:09:10.361770,2026-01-01T20:09:10.737872,2,False,False,SYNTHETIC
EV000001600,P0000016,payment.attempted,2026-01-01T20:40:09.933473,2026-01-01T20:40:11.525460,0,False,False,SYNTHETIC
EV000001601,P0000016,payment.authorized,2026-01-01T20:40:11.206404,2026-01-01T20:40:12.012079,1,False,False,SYNTHETIC
EV000001602,P0000016,payment.captured,2026-01-01T20:40:13.177085,2026-01-01T20:40:13.843954,2,False,False,SYNTHETIC
EV000001700,P0000017,payment.attempted,2026-01-01T10:35:25.083050,2026-01-01T10:35:28.698227,0,False,False,SYNTHETIC
EV000001701,P0000017,payment.authorized,2026-01-01T10:35:27.741839,2026-01-01T10:35:28.904357,1,False,False,SYNTHETIC
EV000001702,P0000017,payment.captured,2026-01-01T10:35:30.324125,2026-01-01T10:35:30.793752,2,False,False,SYNTHETIC
EV000001800,P0000018,payment.attempted,2026-01-01T10:56:39.922205,2026-01-01T10:56:40.644848,0,False,False,SYNTHETIC
EV000001801,P0000018,payment.authorized,2026-01-01T10:56:41.079053,2026-01-01T10:56:42.551343,1,False,False,SYNTHETIC
EV000001802,P0000018,payment.captured,2026-01-01T10:56:44.627440,2026-01-01T10:56:45.287285,2,False,False,SYNTHETIC
EV000001900,P0000019,payment.attempted,2026-01-01T02:40:19.053412,2026-01-01T02:40:19.270100,0,False,False,SYNTHETIC
EV000001901,P0000019,payment.authorized,2026-01-01T02:40:21.422839,2026-01-01T02:40:22.233813,1,False,False,SYNTHETIC
EV000001902,P0000019,payment.captured,2026-01-01T02:40:25.815479,2026-01-01T02:40:26.771072,2,False,False,SYNTHETIC
EV000002000,P0000020,payment.attempted,2026-01-01T20:28:28.848051,2026-01-01T20:28:30.098012,0,False,False,SYNTHETIC
EV000002000D,P0000020,payment.attempted,2026-01-01T20:28:28.848051,2026-01-01T20:28:34.993957,0,True,True,SYNTHETIC
EV000002001,P0000020,payment.authorized,2026-01-01T20:28:33.943497,2026-01-01T20:28:30.599581,1,False,True,SYNTHETIC
EV000002002,P0000020,payment.captured,2026-01-01T20:28:38.001558,2026-01-01T20:28:38.654447,2,False,False,SYNTHETIC
EV000002100,P0000021,payment.attempted,2026-01-01T08:50:12.364969,2026-01-01T08:50:13.285366,0,False,False,SYNTHETIC
EV000002100D,P0000021,payment.attempted,2026-01-01T08:50:12.364969,2026-01-01T08:50:13.844626,0,True,False,SYNTHETIC
EV000002101,P0000021,payment.authorized,2026-01-01T08:50:15.395612,2026-01-01T08:50:16.724449,1,False,False,SYNTHETIC
EV000002102,P0000021,payment.failed,2026-01-01T08:50:19.400031,2026-01-01T08:50:21.969507,2,False,False,SYNTHETIC
EV000002103,P0000021,payment.captured,2026-01-01T08:50:54.363579,2026-01-01T08:50:55.665398,3,False,False,SYNTHETIC
EV000002103D,P0000021,payment.captured,2026-01-01T08:50:54.363579,2026-01-01T08:50:56.420296,3,True,False,SYNTHETIC
EV000002200,P0000022,payment.attempted,2026-01-01T07:09:39.361517,2026-01-01T07:09:40.305366,0,False,False,SYNTHETIC
EV000002201,P0000022,payment.authorized,2026-01-01T07:09:41.234348,2026-01-01T07:09:41.725401,1,False,False,SYNTHETIC
EV000002202,P0000022,payment.captured,2026-01-01T07:09:44.399575,2026-01-01T07:09:44.702677,2,False,False,SYNTHETIC
EV000002300,P0000023,payment.attempted,2026-01-01T03:21:46.285831,2026-01-01T03:21:46.712606,0,False,False,SYNTHETIC
EV000002301,P0000023,payment.authorized,2026-01-01T03:21:50.645007,2026-01-01T03:21:51.162663,1,False,False,SYNTHETIC
EV000002302,P0000023,payment.captured,2026-01-01T03:21:54.546720,2026-01-01T03:21:54.995144,2,False,False,SYNTHETIC
EV000002400,P0000024,payment.attempted,2026-01-01T04:47:52.617565,2026-01-01T04:47:53.585550,0,False,False,SYNTHETIC
EV000002401,P0000024,payment.failed,2026-01-01T04:47:56.873668,2026-01-01T04:47:57.249746,1,False,False,SYNTHETIC
EV000002500,P0000025,payment.attempted,2026-01-01T21:59:34.614193,2026-01-01T21:59:35.371399,0,False,False,SYNTHETIC
EV000002501,P0000025,payment.authorized,2026-01-01T21:59:38.716468,2026-01-01T21:59:39.305674,1,False,False,SYNTHETIC
EV000002502,P0000025,payment.captured,2026-01-01T21:59:39.721127,2026-01-01T21:59:40.537620,2,False,False,SYNTHETIC
EV000002600,P0000026,payment.attempted,2026-01-01T19:00:24.439105,2026-01-01T19:00:25.020315,0,False,False,SYNTHETIC
EV000002601,P0000026,payment.authorized,2026-01-01T19:00:26.431224,2026-01-01T19:00:26.794608,1,False,False,SYNTHETIC
EV000002602,P0000026,payment.captured,2026-01-01T19:00:30.202875,2026-01-01T19:00:30.662389,2,False,False,SYNTHETIC
EV000002700,P0000027,payment.attempted,2026-01-01T23:05:37.409083,2026-01-01T23:05:37.783857,0,False,False,SYNTHETIC
EV000002700D,P0000027,payment.attempted,2026-01-01T23:05:37.409083,2026-01-01T23:05:38.966766,0,True,False,SYNTHETIC
EV000002701,P0000027,payment.authorized,2026-01-01T23:05:42.491058,2026-01-01T23:05:44.305345,1,False,False,SYNTHETIC
EV000002702,P0000027,payment.captured,2026-01-01T23:05:45.976255,2026-01-01T23:05:47.235370,2,False,False,SYNTHETIC
EV000002702D,P0000027,payment.captured,2026-01-01T23:05:45.976255,2026-01-01T23:05:47.861747,2,True,False,SYNTHETIC
EV000002800,P0000028,payment.attempted,2026-01-01T12:32:16.118072,2026-01-01T12:32:16.949173,0,False,False,SYNTHETIC
EV000002801,P0000028,payment.authorized,2026-01-01T12:32:17.960925,2026-01-01T12:32:19.559875,1,False,False,SYNTHETIC
EV000002802,P0000028,payment.captured,2026-01-01T12:32:22.199717,2026-01-01T12:32:23.888713,2,False,False,SYNTHETIC
EV000002900,P0000029,payment.attempted,2026-01-01T11:27:33.577213,2026-01-01T11:27:38.546329,0,False,False,SYNTHETIC
EV000002901,P0000029,payment.failed,2026-01-01T11:27:39.147537,2026-01-01T11:27:40.510905,1,False,False,SYNTHETIC
EV000003000,P0000030,payment.attempted,2026-01-01T04:07:00.902079,2026-01-01T04:07:02.077436,0,False,False,SYNTHETIC
EV000003001,P0000030,payment.authorized,2026-01-01T04:07:06.511229,2026-01-01T04:07:07.568347,1,False,False,SYNTHETIC
EV000003002,P0000030,payment.captured,2026-01-01T04:07:08.586528,2026-01-01T04:07:09.170835,2,False,False,SYNTHETIC
EV000003100,P0000031,payment.attempted,2026-01-01T18:01:23.636413,2026-01-01T18:01:24.143758,0,False,False,SYNTHETIC
EV000003101,P0000031,payment.failed,2026-01-01T18:01:29.935857,2026-01-01T18:01:30.478603,1,False,False,SYNTHETIC
EV000003200,P0000032,payment.attempted,2026-01-01T00:21:16.571537,2026-01-01T00:22:09.788267,0,False,False,SYNTHETIC
EV000003201,P0000032,payment.authorized,2026-01-01T00:21:17.813539,2026-01-01T00:21:18.847491,1,False,False,SYNTHETIC
EV000003202,P0000032,payment.captured,2026-01-01T00:21:19.656526,2026-01-01T00:21:23.788920,2,False,False,SYNTHETIC
EV000003300,P0000033,payment.attempted,2026-01-01T12:29:59.594342,2026-01-01T12:30:00.783666,0,False,False,SYNTHETIC
EV000003301,P0000033,payment.authorized,2026-01-01T12:30:04.420507,2026-01-01T12:30:05.493775,1,False,False,SYNTHETIC
EV000003302,P0000033,payment.captured,2026-01-01T12:34:44.194372,2026-01-01T12:34:45.140362,2,False,False,SYNTHETIC
EV000003400,P0000034,payment.attempted,2026-01-01T20:26:54.155571,2026-01-01T20:26:54.506800,0,False,False,SYNTHETIC
EV000003401,P0000034,payment.authorized,2026-01-01T20:26:57.207944,2026-01-01T20:26:58.081228,1,False,False,SYNTHETIC
EV000003402,P0000034,payment.captured,2026-01-01T20:26:58.240753,2026-01-01T20:26:58.633730,2,False,False,SYNTHETIC
EV000003500,P0000035,payment.attempted,2026-01-01T02:07:37.854085,2026-01-01T02:07:38.322293,0,False,False,SYNTHETIC
EV000003501,P0000035,payment.authorized,2026-01-01T02:07:41.174040,2026-01-01T02:07:42.870324,1,False,False,SYNTHETIC
EV000003502,P0000035,payment.captured,2026-01-01T02:07:45.892638,2026-01-01T02:07:46.283666,2,False,False,SYNTHETIC
EV000003502D,P0000035,payment.captured,2026-01-01T02:07:45.892638,2026-01-01T02:07:46.599345,2,True,False,SYNTHETIC
EV000003600,P0000036,payment.attempted,2026-01-01T19:34:57.080667,2026-01-01T19:34:59.279412,0,False,False,SYNTHETIC
EV000003601,P0000036,payment.authorized,2026-01-01T19:34:58.977941,2026-01-01T19:35:01.893238,1,False,False,SYNTHETIC
EV000003602,P0000036,payment.captured,2026-01-01T19:35:03.378861,2026-01-01T19:35:07.607054,2,False,False,SYNTHETIC
EV000003700,P0000037,payment.attempted,2026-01-01T13:18:05.833324,2026-01-01T13:18:06.687253,0,False,False,SYNTHETIC
EV000003701,P0000037,payment.authorized,2026-01-01T13:18:06.978830,2026-01-01T13:18:07.896103,1,False,False,SYNTHETIC
EV000003702,P0000037,payment.captured,2026-01-01T13:18:11.971656,2026-01-01T13:18:12.348622,2,False,False,SYNTHETIC
EV000003800,P0000038,payment.attempted,2026-01-01T14:54:28.831929,2026-01-01T14:54:31.370985,0,False,True,SYNTHETIC
EV000003801,P0000038,payment.authorized,2026-01-01T14:54:30.369032,2026-01-01T14:54:30.438808,1,False,True,SYNTHETIC
EV000003802,P0000038,payment.captured,2026-01-01T14:54:31.435400,2026-01-01T14:54:32.830966,2,False,False,SYNTHETIC
EV000003900,P0000039,payment.attempted,2026-01-01T20:38:13.810603,2026-01-01T20:38:15.093834,0,False,False,SYNTHETIC
EV000003900D,P0000039,payment.attempted,2026-01-01T20:38:13.810603,2026-01-01T20:38:15.417705,0,True,False,SYNTHETIC
EV000003901,P0000039,payment.authorized,2026-01-01T20:38:19.330433,2026-01-01T20:38:23.539530,1,False,True,SYNTHETIC
EV000003902,P0000039,payment.captured,2026-01-01T20:38:23.295848,2026-01-01T20:38:19.609480,2,False,True,SYNTHETIC
EV000004000,P0000040,payment.attempted,2026-01-01T15:48:21.246179,2026-01-01T15:48:22.014827,0,False,False,SYNTHETIC
EV000004001,P0000040,payment.authorized,2026-01-01T15:48:23.296507,2026-01-01T15:48:24.581524,1,False,False,SYNTHETIC
EV000004002,P0000040,payment.captured,2026-01-01T15:52:44.085071,2026-01-01T15:52:44.695017,2,False,False,SYNTHETIC
EV000004100,P0000041,payment.attempted,2026-01-01T12:03:01.162530,2026-01-01T12:03:02.651503,0,False,False,SYNTHETIC
EV000004101,P0000041,payment.authorized,2026-01-01T12:03:06.301218,2026-01-01T12:03:07.272492,1,False,False,SYNTHETIC
EV000004102,P0000041,payment.captured,2026-01-01T12:03:09.392373,2026-01-01T12:03:11.444247,2,False,False,SYNTHETIC
EV000004200,P0000042,payment.attempted,2026-01-01T15:01:56.301596,2026-01-01T15:02:41.619425,0,False,False,SYNTHETIC
EV000004201,P0000042,payment.authorized,2026-01-01T15:02:01.112461,2026-01-01T15:02:06.344279,1,False,True,SYNTHETIC
EV000004202,P0000042,payment.captured,2026-01-01T15:02:05.059661,2026-01-01T15:02:05.529162,2,False,False,SYNTHETIC
EV000004202D,P0000042,payment.captured,2026-01-01T15:02:05.059661,2026-01-01T15:02:01.685147,2,True,True,SYNTHETIC
EV000004300,P0000043,payment.attempted,2026-01-01T08:56:01.586970,2026-01-01T08:56:04.545021,0,False,False,SYNTHETIC
EV000004300D,P0000043,payment.attempted,2026-01-01T08:56:01.586970,2026-01-01T08:56:05.658081,0,True,False,SYNTHETIC
EV000004301,P0000043,payment.authorized,2026-01-01T08:56:03.138959,2026-01-01T08:56:04.988299,1,False,False,SYNTHETIC
EV000004302,P0000043,payment.captured,2026-01-01T08:56:04.785798,2026-01-01T08:56:07.854789,2,False,False,SYNTHETIC
EV000004400,P0000044,payment.attempted,2026-01-01T17:25:26.527842,2026-01-01T17:25:31.472817,0,False,True,SYNTHETIC
EV000004401,P0000044,payment.authorized,2026-01-01T17:25:30.004177,2026-01-01T17:25:30.389518,1,False,False,SYNTHETIC
EV000004402,P0000044,payment.captured,2026-01-01T17:25:31.069984,2026-01-01T17:25:27.178524,2,False,True,SYNTHETIC
EV000004500,P0000045,payment.attempted,2026-01-01T07:52:33.539916,2026-01-01T07:52:33.920195,0,False,False,SYNTHETIC
EV000004501,P0000045,payment.authorized,2026-01-01T07:52:34.895390,2026-01-01T07:52:36.385380,1,False,False,SYNTHETIC
EV000004502,P0000045,payment.captured,2026-01-01T07:52:39.687978,2026-01-01T07:52:41.920824,2,False,False,SYNTHETIC
EV000004600,P0000046,payment.attempted,2026-01-01T02:45:22.865066,2026-01-01T02:45:23.463360,0,False,False,SYNTHETIC
EV000004601,P0000046,payment.failed,2026-01-01T02:45:27.840227,2026-01-01T02:45:28.454615,1,False,False,SYNTHETIC
EV000004700,P0000047,payment.attempted,2026-01-01T00:41:54.335853,2026-01-01T00:41:55.298931,0,False,False,SYNTHETIC
EV000004701,P0000047,payment.failed,2026-01-01T00:41:57.358868,2026-01-01T00:42:03.164108,1,False,False,SYNTHETIC
EV000004800,P0000048,payment.attempted,2026-01-01T05:15:10.052490,2026-01-01T05:15:11.785429,0,False,False,SYNTHETIC
EV000004801,P0000048,payment.authorized,2026-01-01T05:15:12.700948,2026-01-01T05:15:13.545054,1,False,False,SYNTHETIC
EV000004802,P0000048,payment.captured,2026-01-01T05:15:14.829265,2026-01-01T05:15:15.929518,2,False,False,SYNTHETIC
EV000004900,P0000049,payment.attempted,2026-01-01T10:23:27.257749,2026-01-01T10:23:28.801368,0,False,False,SYNTHETIC
EV000004901,P0000049,payment.authorized,2026-01-01T10:23:31.198214,2026-01-01T10:23:32.143454,1,False,False,SYNTHETIC
EV000004902,P0000049,payment.captured,2026-01-01T10:23:35.360842,2026-01-01T10:23:37.878461,2,False,False,SYNTHETIC
EV000004902D,P0000049,payment.captured,2026-01-01T10:23:35.360842,2026-01-01T10:23:38.952077,2,True,False,SYNTHETIC
EV000005000,P0000050,payment.attempted,2026-01-01T15:16:46.299723,2026-01-01T15:16:47.738183,0,False,False,SYNTHETIC
EV000005001,P0000050,payment.authorized,2026-01-01T15:16:50.987713,2026-01-01T15:16:52.514878,1,False,False,SYNTHETIC
EV000005002,P0000050,payment.captured,2026-01-01T15:16:52.055005,2026-01-01T15:16:54.111288,2,False,False,SYNTHETIC
EV000005100,P0000051,payment.attempted,2026-01-01T18:32:07.149392,2026-01-01T18:32:08.542702,0,False,False,SYNTHETIC
EV000005101,P0000051,payment.authorized,2026-01-01T18:32:12.514721,2026-01-01T18:32:13.127088,1,False,False,SYNTHETIC
EV000005102,P0000051,payment.captured,2026-01-01T18:32:16.057422,2026-01-01T18:32:16.273851,2,False,False,SYNTHETIC
EV000005200,P0000052,payment.attempted,2026-01-01T06:19:16.727728,2026-01-01T06:19:18.927942,0,False,False,SYNTHETIC
EV000005201,P0000052,payment.authorized,2026-01-01T06:19:17.767376,2026-01-01T06:19:19.126297,1,False,False,SYNTHETIC
EV000005202,P0000052,payment.captured,2026-01-01T06:19:19.787935,2026-01-01T06:19:20.594694,2,False,False,SYNTHETIC
EV000005300,P0000053,payment.attempted,2026-01-01T07:53:09.191532,2026-01-01T07:53:10.035397,0,False,False,SYNTHETIC
EV000005301,P0000053,payment.authorized,2026-01-01T07:53:12.035952,2026-01-01T07:53:17.655440,1,False,True,SYNTHETIC
EV000005302,P0000053,payment.captured,2026-01-01T07:53:16.604731,2026-01-01T07:53:12.626452,2,False,True,SYNTHETIC
EV000005400,P0000054,payment.attempted,2026-01-01T22:50:04.613327,2026-01-01T22:50:04.901651,0,False,False,SYNTHETIC
EV000005401,P0000054,payment.authorized,2026-01-01T22:50:07.802663,2026-01-01T22:50:08.192934,1,False,False,SYNTHETIC
EV000005402,P0000054,payment.captured,2026-01-01T22:50:09.436144,2026-01-01T22:50:10.155161,2,False,False,SYNTHETIC
EV000005500,P0000055,payment.attempted,2026-01-01T16:02:59.625131,2026-01-01T16:03:00.542251,0,False,False,SYNTHETIC
EV000005501,P0000055,payment.authorized,2026-01-01T16:03:02.090981,2026-01-01T16:03:03.317575,1,False,False,SYNTHETIC
EV000005502,P0000055,payment.captured,2026-01-01T16:03:03.397118,2026-01-01T16:03:04.184633,2,False,False,SYNTHETIC
EV000005600,P0000056,payment.attempted,2026-01-01T10:42:01.078401,2026-01-01T10:42:03.722618,0,False,False,SYNTHETIC
EV000005601,P0000056,payment.authorized,2026-01-01T10:42:04.532295,2026-01-01T10:42:05.166072,1,False,False,SYNTHETIC
EV000005602,P0000056,payment.captured,2026-01-01T10:42:09.258562,2026-01-01T10:42:10.145002,2,False,False,SYNTHETIC
EV000005700,P0000057,payment.attempted,2026-01-01T04:47:48.339774,2026-01-01T04:47:48.476945,0,False,False,SYNTHETIC
EV000005700D,P0000057,payment.attempted,2026-01-01T04:47:48.339774,2026-01-01T04:47:48.808257,0,True,False,SYNTHETIC
EV000005701,P0000057,payment.authorized,2026-01-01T04:47:51.914950,2026-01-01T04:47:52.362055,1,False,False,SYNTHETIC
EV000005702,P0000057,payment.captured,2026-01-01T04:47:55.385703,2026-01-01T04:47:55.716057,2,False,False,SYNTHETIC
EV000005800,P0000058,payment.attempted,2026-01-01T04:01:24.331091,2026-01-01T04:01:25.326732,0,False,False,SYNTHETIC
EV000005801,P0000058,payment.authorized,2026-01-01T04:01:26.638029,2026-01-01T04:01:27.519603,1,False,False,SYNTHETIC
EV000005802,P0000058,payment.captured,2026-01-01T04:01:28.323990,2026-01-01T04:01:29.358399,2,False,False,SYNTHETIC
EV000005900,P0000059,payment.attempted,2026-01-01T13:24:17.009723,2026-01-01T13:24:18.792523,0,False,False,SYNTHETIC
EV000005901,P0000059,payment.failed,2026-01-01T13:24:18.510278,2026-01-01T13:24:19.208673,1,False,False,SYNTHETIC
EV000006000,P0000060,payment.attempted,2026-01-01T04:12:44.620782,2026-01-01T04:12:46.125645,0,False,False,SYNTHETIC
EV000006001,P0000060,payment.authorized,2026-01-01T04:12:48.723649,2026-01-01T04:12:50.347748,1,False,False,SYNTHETIC
EV000006002,P0000060,payment.captured,2026-01-01T04:12:49.990112,2026-01-01T04:12:51.160246,2,False,False,SYNTHETIC
EV000006100,P0000061,payment.attempted,2026-01-01T00:51:19.322308,2026-01-01T00:51:22.116211,0,False,False,SYNTHETIC
EV000006101,P0000061,payment.authorized,2026-01-01T00:51:24.883145,2026-01-01T00:51:25.553221,1,False,False,SYNTHETIC
EV000006102,P0000061,payment.captured,2026-01-01T00:51:27.517344,2026-01-01T00:51:29.734635,2,False,False,SYNTHETIC
EV000006200,P0000062,payment.attempted,2026-01-01T15:19:47.659930,2026-01-01T15:19:48.215208,0,False,False,SYNTHETIC
EV000006201,P0000062,payment.authorized,2026-01-01T15:19:49.127382,2026-01-01T15:19:49.577389,1,False,False,SYNTHETIC
EV000006202,P0000062,payment.captured,2026-01-01T15:19:53.954851,2026-01-01T15:19:54.544303,2,False,False,SYNTHETIC
EV000006300,P0000063,payment.attempted,2026-01-01T00:46:41.274497,2026-01-01T00:46:42.504557,0,False,False,SYNTHETIC
EV000006301,P0000063,payment.authorized,2026-01-01T00:46:42.886098,2026-01-01T00:46:43.649102,1,False,False,SYNTHETIC
EV000006302,P0000063,payment.captured,2026-01-01T00:46:44.126089,2026-01-01T00:46:45.007062,2,False,False,SYNTHETIC
EV000006400,P0000064,payment.attempted,2026-01-01T00:06:40.586866,2026-01-01T00:06:41.893483,0,False,False,SYNTHETIC
EV000006400D,P0000064,payment.attempted,2026-01-01T00:06:40.586866,2026-01-01T00:06:42.401298,0,True,False,SYNTHETIC
EV000006401,P0000064,payment.authorized,2026-01-01T00:06:42.228802,2026-01-01T00:06:44.493156,1,False,False,SYNTHETIC
EV000006402,P0000064,payment.captured,2026-01-01T00:06:44.586676,2026-01-01T00:06:46.052690,2,False,False,SYNTHETIC
EV000006500,P0000065,payment.attempted,2026-01-01T05:05:49.469009,2026-01-01T05:05:56.770312,0,False,True,SYNTHETIC
EV000006501,P0000065,payment.authorized,2026-01-01T05:05:52.109960,2026-01-01T05:05:52.775214,1,False,False,SYNTHETIC
EV000006502,P0000065,payment.captured,2026-01-01T05:05:55.647361,2026-01-01T05:05:49.976693,2,False,True,SYNTHETIC
EV000006600,P0000066,payment.attempted,2026-01-01T08:50:43.362830,2026-01-01T08:50:43.940823,0,False,False,SYNTHETIC
EV000006601,P0000066,payment.failed,2026-01-01T08:50:46.867735,2026-01-01T08:50:48.637939,1,False,False,SYNTHETIC
EV000006700,P0000067,payment.attempted,2026-01-01T13:28:56.011887,2026-01-01T13:28:57.625586,0,False,False,SYNTHETIC
